Time [fs],RK4 field real,RK4 field imaginary
-85.3,4.2916e-05,-8.9908e-14
-85.2,4.4058e-05,-9.72782e-14
-85.1,4.5229e-05,-1.05243e-13
-85,4.64297e-05,-1.13849e-13
-84.9,4.76608e-05,-1.23148e-13
-84.8,4.89231e-05,-1.33193e-13
-84.7,5.02172e-05,-1.44045e-13
-84.6,5.1544e-05,-1.55767e-13
-84.5,5.29042e-05,-1.68427e-13
-84.4,5.42986e-05,-1.82099e-13
-84.3,5.57281e-05,-1.96863e-13
-84.2,5.71934e-05,-2.12804e-13
-84.1,5.86954e-05,-2.30014e-13
-84,6.02351e-05,-2.48593e-13
-83.9,6.18132e-05,-2.68649e-13
-83.8,6.34307e-05,-2.90295e-13
-83.7,6.50886e-05,-3.13657e-13
-83.6,6.67877e-05,-3.38868e-13
-83.5,6.8529e-05,-3.66071e-13
-83.4,7.03136e-05,-3.95421e-13
-83.3,7.21425e-05,-4.27085e-13
-83.2,7.40166e-05,-4.61241e-13
-83.1,7.59371e-05,-4.98084e-13
-83,7.7905e-05,-5.37819e-13
-82.9,7.99214e-05,-5.80671e-13
-82.8,8.19875e-05,-6.2688e-13
-82.7,8.41044e-05,-6.76703e-13
-82.6,8.62734e-05,-7.30418e-13
-82.5,8.84955e-05,-7.88324e-13
-82.4,9.07721e-05,-8.50742e-13
-82.3,9.31043e-05,-9.18018e-13
-82.2,9.54936e-05,-9.90522e-13
-82.1,9.79412e-05,-1.06865e-12
-82,0.000100448,-1.15284e-12
-81.9,0.000103017,-1.24355e-12
-81.8,0.000105647,-1.34126e-12
-81.7,0.000108342,-1.44653e-12
-81.6,0.000111101,-1.55991e-12
-81.5,0.000113928,-1.68202e-12
-81.4,0.000116823,-1.81352e-12
-81.3,0.000119787,-1.95512e-12
-81.2,0.000122824,-2.10759e-12
-81.1,0.000125933,-2.27173e-12
-81,0.000129117,-2.44844e-12
-80.9,0.000132377,-2.63864e-12
-80.8,0.000135716,-2.84335e-12
-80.7,0.000139134,-3.06367e-12
-80.6,0.000142634,-3.30075e-12
-80.5,0.000146218,-3.55585e-12
-80.4,0.000149887,-3.83031e-12
-80.3,0.000153644,-4.12557e-12
-80.2,0.000157489,-4.44318e-12
-80.1,0.000161426,-4.78481e-12
-80,0.000165457,-5.15222e-12
-79.9,0.000169582,-5.54733e-12
-79.8,0.000173806,-5.97219e-12
-79.7,0.000178129,-6.429e-12
-79.6,0.000182554,-6.92011e-12
-79.5,0.000187083,-7.44804e-12
-79.4,0.000191718,-8.01551e-12
-79.3,0.000196462,-8.62542e-12
-79.2,0.000201318,-9.28087e-12
-79.1,0.000206287,-9.98522e-12
-79,0.000211372,-1.0742e-11
-78.9,0.000216576,-1.15551e-11
-78.8,0.000221902,-1.24286e-11
-78.7,0.000227351,-1.33669e-11
-78.6,0.000232927,-1.43747e-11
-78.5,0.000238632,-1.54571e-11
-78.4,0.000244469,-1.66194e-11
-78.3,0.000250442,-1.78674e-11
-78.2,0.000256552,-1.92074e-11
-78.1,0.000262804,-2.06461e-11
